a|يك(0.5)
characterise|مشخص كردن(0.5),توصيف كردن(0.25),منش نمايي كردن(0.25),متصف كردن(0.25)
characteristic|مشخصه(0.75),خاص(0.5),نهادي(0.25),نهادين(0.25),خيمي(0.25),مشخصات(0.75),منش نما(0.25),نشان ويژه(0.25),صفت مميزه(0.25),جنبه(0.25)
charcoal|زغال(0.75),زغال چوب(0.75),فحم(0.25)
charge|اتهام(0.75),بار(0.75),هزينه(0.75),خرج(0.5),مطالبه(0.5),عهده(0.5),تصدي(0.25),حمله(0.25),مطالبه هزينه(0.25),وزن(0.25),مسئوليت(0.25),عهده داري(0.25),گماشتن(0.25),زيربار كشيدن(0.25),متهم ساختن(0.25),پركردن(0.25)
charity|صدقه(0.5),خيرات(0.5),نيكوكاري(0.5),دستگيري(0.25),خوش قلبي(0.25)
charles|چارلز(0.75)
chat|گپ(0.75),سخن دوستانه(0.25),درد دل(0.25),گپ زدن(0.5),دوستانه حرف زدن(0.25),پر حرفي كردن(0.25)
cheaply|ارزان(0.75)
check|بررسي(0.75),چك(0.75),حواله(0.25),برات(0.25),چك بانك(0.25),بوته(0.25),مكي(0.25),جلوگيري كردن از(0.25),مقابله كردن(0.25),ممانعت كردن(0.25),بررسي كردن(0.25),رسيدگي كردن(0.25),تطبيق كردن(0.25),نشان گذاردن(0.25),منع كردن(0.25)
checking|بررسي(0.75),مقابله(0.5),منع(0.25)
checkout|وارسي(0.75)
cheek|گونه(0.75),لب(0.5),لغاز(0.25)
cheltenham|چلتنهام(0.75)
chemical|شيميايي(0.75),كيميايي(0.25)
chemistry|علم شيمي(0.5)
cheque|بررسي(0.75),چك(0.75),حواله(0.25),برات(0.25),چك بانك(0.25),بوته(0.25),مكي(0.25),جلوگيري كردن از(0.25),مقابله كردن(0.25),ممانعت كردن(0.25),بررسي كردن(0.25),رسيدگي كردن(0.25),تطبيق كردن(0.25),نشان گذاردن(0.25),منع كردن(0.25)
chest|قفسه سينه(0.75),سينه(0.75),جعبه(0.5),صندوق(0.5),محفظه(0.25),سينه انسان(0.25),يخدان(0.25),تابوت(0.25),خزانه داري(0.25),خزانه(0.25)
chesterfield|chesterfield(0.75)
chicken|جوجه(0.75),بچه(0.25),جوجه مرغ(0.5),مرد جوان(0.25),ترسو(0.25),كمرو(0.25),مرغك(0.25)
chief|رئيس(0.75),سالار(0.25),فرمانده(0.5),قائد(0.25),سر(0.5),پيشرو(0.25),متصدي(0.25),سرور(0.25),سيد(0.25),سر دسته(0.25),عمده(0.5)
child|كودك(0.75),بچه(0.5),طفل(0.5),فرزند(0.75),خردسال(0.5),زاد(0.25),زاده(0.25)
chime|صداي سنج ايجاد كردن(0.75),سنج(0.75),ترتيب زنگهاي موسيقي(0.5),ناقوس رابصدا دراوردن(0.5)
chimp|شمپانزه(0.75),ميمون ادم وار(0.5)
chinese|چيني(0.75)
chip|تراشه(0.75),ژتن(0.25),ريزه(0.25),ژتون(0.25),سيب زميني سرخ كرده(0.25),ورقه شدن(0.25),رنده كردن(0.25)
chloride|كلريد(0.75)
choice|انتخاب(0.75),پسند(0.25),چيز نخبه(0.25),برگزيده(0.25)
choir|هم سرايان(0.5),بصورت دسته جمعي سرود خواندن(0.25)
cholesterol|كلسترول(0.75)
choose|را انتخاب كنيد(0.75),انتخاب كردن(0.5),برگزيدن(0.25),گزيدن(0.25),خواستن(0.25),پسنديدن(0.25),جدا كردن(0.25)
choosing|انتخاب(0.75)
chop|ريز ريز كردن(0.75),بريدن(0.5),جدا كردن(0.5),غذا خوردن(0.5),شكستن(0.5),خرد كردن(0.5),گوشت با استخوان(0.5),ضربت(0.5),دهان(0.5),ضرب(0.5),غذا(0.5)
choreographer|طراح رقص(0.75)
chorus|هم سرايان(0.5),برگردان(0.5),دسته خوانندگان(0.5),نغمه سرايان هم اهنگ(0.5),هم سرايي كردن(0.5)
chris|كريس(0.75)
christian|مسيحي(0.75)
christmas|كريسمس(0.75)
chronic|مزمن(0.75),ديرينه(0.25),سخت(0.25),شديد(0.25),گرانرو(0.25)
chronology|علم ترتيب تاريخ(0.5),شرح وقايع بترتيب زماني(0.5),گاه شناسي(0.5),تاريخ شماري(0.5)
chrysanthemum|گل داودي(0.75),ميناي طلايي(0.5)
chrysanths|گل داودي(0.75)
church|كليسا(0.75),كليسايي(0.5),روحاني(0.25),در كليسا مراسم مذهبي بجا اوردن(0.25)
churchill|چرچيل(0.75)
churn|دائما و شديدا چيزي را تكان دادن و بم زدن(0.75),كره سازي(0.75),بوسيله اسباب گردنده جلو رفتن(0.5)
cigar|سيگار(0.75),سيگار برگ(0.75)
cigarette|سيگار(0.75),سيگارت(0.5)
circle|دايره(0.75),حوزه(0.25),دور(0.75),محفل(0.5),محيط دايره(0.25),قلمرو(0.25),چنبر(0.25),مدار(0.25),چنبره(0.25),طوق(0.25),دور زدن(0.25),مدور ساختن(0.25),دور گرفتن(0.25),احاطه كردن(0.25)
circuit|جريان(0.5),حوزه قضايي يك قاضي(0.25),دور(0.25),دوره(0.25),گردش(0.25),اتحاديه(0.25),كنفرانس(0.25),محيط(0.25),دور چيزي گشتن(0.25),در مداري سفر كردن(0.25),احاطه كردن(0.25)
circular|مدور(0.75),دايره وار(0.5),دايرهاي(0.5),غير مستقيم(0.25),مستدير(0.25),چنبري(0.25),چرخي(0.25),بخشنامه(0.75)
circulation|گردش(0.75),تيراژ(0.75),جريان(0.5),انتشار(0.5),رواج(0.5),دوران(0.5),دوران خون(0.25)
circumstance|چگونگي(0.5),امر(0.5),تفصيل(0.5),شرايط محيط(0.5),پيش امد(0.5),شرح(0.25),اهميت(0.25),حال(0.25),روي داد(0.25)
citizen|شهروند(0.75),تابع(0.5),رعيت(0.25),تبعه يك كشور(0.25)
city|شهرستان(0.75),شهر(0.75)
civic|مدني(0.75),شهري(0.5),اجتماعي(0.5)
civil|مدني(0.75),كشوري(0.5),غير نظامي(0.5),حقوقي(0.5),عرفي(0.25),با ادب(0.25),متمدن(0.25),مودب(0.25)
civilian|غير نظامي(0.75),شخص غير نظامي(0.25)
civility|نزاكت(0.5),تربيت(0.5),نجابت و رفتار خوب(0.5),مردمي(0.5),مدارا(0.5)
claim|ادعا(0.75),دعوي(0.75),مدعي(0.75),مطالبه(0.5),ادعا كردن(0.25)
clap|كف زدن(0.75),صداي دست زدن(0.75),صداي ناگهاني(0.75),ترق تراق(0.5)
clarification|وضوح(0.5),روشني(0.5),تصريح(0.25)
clarity|وضوح(0.75),روشني(0.5),نظم و ترتيب(0.5),تميزي(0.25)
class|كلاس(0.75),طبقه(0.75),نوع(0.25),رده(0.5),دسته(0.5),گروه(0.5),زمره(0.25),جور(0.25),هماموزگان(0.25),رسته(0.25),سنخ(0.25),طبقه بندي كردن(0.25)
classic|كلاسيك(0.75),مطابق بهترين نمونه(0.25),باستاني(0.25),پيرو سبكهاي باستاني(0.25),ردهاي(0.25),وابسته به ادبيات باستاني(0.25)
classical|كلاسيك(0.75),ردهاي(0.25),وابسته به ادبيات باستاني(0.25),پيرو سبكهاي باستاني(0.25),باستاني(0.25),مطابق بهترين نمونه(0.25)
clay|رس(0.75),خاك رس(0.75),گل(0.5),سفال(0.5),خاك كوزه گري(0.25)
clean|تميز(0.75),پاك(0.75),پاكيزه(0.5),روشن(0.25),نظيف(0.25),طاهر(0.25),عفيف(0.25),زلال(0.25),صاف(0.25),باطراوت(0.25),تميز كردن(0.75),پاك كردن(0.5)
cleaner|پاك كننده(0.75)
clear|واضح(0.75),شفاف(0.5),صاف(0.75),معلوم(0.5),زلال(0.5),صريح(0.5),اشكار(0.25),باصفا(0.25),روان(0.25),سليس(0.25),ظاهر(0.25),جلي(0.25)
clearance|ترخيص(0.75),ترخيص كالا از گمرك(0.75),اجازه(0.5),اختيار(0.25),برداشتن مانع(0.25),زدودگي(0.25),روزنه(0.25),رخصت(0.25),صافي(0.25)
clearly|به وضوح(0.75)
clergyman|روحاني(0.75),كشيش(0.75),ملا(0.5)
clever|زرنگ(0.5),زيرك(0.5),چابك(0.25),ناقلا(0.25),با استعداد(0.25),معقول(0.25),با خرد(0.25),با هوش(0.25)
client|مشتري(0.75),موكل(0.5),ارباب رجوع(0.5)
cliff|صخره(0.75),تخته سنگ(0.5)
climate|اقليم(0.5),اب و هوا(0.25)
climatic|اب و هوا(0.75)
climax|اوج(0.75),راس(0.5),قله(0.5),منتها درجه(0.5),باوج رسيدن(0.5)
climb|بالا رفتن(0.75),صعود كردن(0.5),ترقي كردن(0.5)
clinic|درمانگاه(0.75),مطب(0.5),بيمارستان(0.5)
clink|جلنگ جلنگ صدا كردن(0.75),بصدا دراوردن(0.75),سلول زندان(0.75)
clive|كلايو(0.75)
cloak|عبا(0.75),خرقه(0.5),جبه(0.5),ردا(0.5),پنهان كردن(0.5),در لفافه پيچيدن(0.5)
clock|ساعت(0.75),تپش زمان سنجي(0.25),زمان سنج(0.25),سنجيدن باساعت(0.25)
close|تنگ(0.25),خودماني(0.25),نزديك(0.75),بستن(0.75),مسدود كردن(0.25),محصور كردن(0.25),خاتمه دادن(0.25),پايان(0.5),ايست(0.25),توقف(0.25),خاتمه(0.5),جاي محصور(0.25),محوطه(0.25),انتها(0.25),بن بست(0.25)
closely|نزديك(0.75)
closeness|نزديكي(0.75)
closer|نزديك(0.75)
closest|نزديك ترين(0.75)
closing|بسته شدن(0.75)
closure|بسته شدن(0.75),خاتمه(0.5),بستار(0.5),دريچه(0.5),راي كفايت مذاكرات(0.25),عمل محصور شدن(0.25),درب بطري و غيره(0.25),دربستن(0.25)
cloth|پارچه(0.75),قماش(0.75)
clothes|لباس(0.75),رخت(0.5),جامه لباس(0.25)
cloud|ابر(0.75),توده ابرومه(0.25),توده انبوه(0.25),سحاب(0.25),ابري شدن(0.25),سايه افكن شدن(0.25)
club|باشگاه(0.75),انجمن(0.5),كانون(0.5),باتون(0.25),چماق(0.25),گرز(0.25),خال گشنيز(0.25),مجمع(0.25),خاج(0.25),عمود(0.25),چماق زدن(0.25),تشكيل باشگاه يا انجمن دادن(0.25)
co|شركت(0.75)
coal|زغال سنگ(0.75),زغال(0.75),زغال كردن(0.25)
coalition|ائتلاف(0.75),پيوستگي(0.25),اتحاد موقتي(0.25)
coat|كت(0.75),روكش(0.5),نيمتنه(0.25),ژاكت(0.25),قشر(0.25),غشا(0.25),پوشاندن(0.5),روكش كردن(0.25),اندودن(0.25)
coating|پوشش(0.75),روكش(0.5),اندود(0.5)
cocaine|كوكائين(0.75)
cocking|cocking با(0.75)
coconut|نارگيل(0.75)
cod|ماهي روغن(0.75),كيسه(0.75),چنته(0.5),ماهي كاد(0.5),نوعي ماهي(0.5),كيسه كوچك(0.5),غلاف سبوس(0.5),پوسته(0.25)
code|قانون(0.5),رمز(0.5),برنامه(0.5),نظام نامه(0.25),دستورالعملها(0.25),رمزي كردن(0.25),بصورت رمز دراوردن(0.25)
coffin|تابوت(0.75)
cohesion|پيوستگي(0.5),چسبندگي(0.5),هم بستگي(0.25),جاذبه مولكولي(0.25)
coil|سيم پيچ(0.75),فنر(0.5),مارپيچ(0.5),چنبره(0.5),چنبره زدن(0.25),بدور چيزي بطور مارپيچ پيچيدن(0.25)
coin|سكه(0.75),مسكوك(0.5),سكه زدن(0.25),اختراع و ابداع كردن(0.25)
coincide|همزمان بودن(0.5),منطبق شدن(0.25),مصادف شدن(0.5),باهم رويدادن(0.25),در يك زمان اتفاق افتادن(0.25)
cold|سرد(0.75),خنك(0.5),سرما(0.75),زكام(0.75),سرما خوردگي(0.5)
collaboration|همكاري(0.75),همدستي(0.5),تشريك مساعي(0.5),خيانت(0.25)
collapse|سقوط(0.75),فروكش(0.25),اوار(0.25),فروريختگي(0.25),فرو ريختن(0.5),دچار سقوط و اضمحلال شدن(0.25),غش كردن(0.25),سقوط كردن(0.25)
colleague|همكار(0.75)
collect|جمع كردن(0.5),فراهم كردن(0.25),گرد اوردن(0.25),جمع اوري كردن(0.25),وصول كردن(0.25),مدون كردن(0.25),متراكم كردن(0.25),فراهم اوردن(0.25)
collection|مجموعه(0.75),كلكسيون(0.5),وصول(0.5),جمع اوري(0.25),گرداورد(0.25),اجتماع(0.25),گرد اوري(0.25)
collective|جمعي(0.75),اشتراكي(0.5),اجتماعي(0.5),بهم پيوسته(0.25),انبوه(0.25),مشاع(0.25)
collectively|مجتمعا(0.5)
college|كالج(0.75),دانشگاه(0.75),دانشكده(0.75)
cologne|كلن(0.75)
colonial|مستعمراتي(0.75)
colony|مستعمره(0.75),مستملكات(0.25),جرگه(0.25)
colour|رنگ(0.75),فام(0.25),بشره(0.25),تغيير رنگ دادن(0.25),رنگ كردن(0.25),ملون كردن(0.25)
colourful|رنگارنگ(0.75)
colouring|رنگ اميزي(0.5)
column|ستون(0.75),پايه(0.25),ركن(0.25),عمود(0.25)
combat|مبارزه(0.75),نبرد(0.5),رزم(0.5),پيكار(0.25),زد و خورد(0.25),حرب(0.25),محاربه(0.25),مصاف(0.25),سلحشور(0.25),مبارزه كردن(0.25),جنگيدن با(0.25)
combination|تركيب(0.75),اميزش(0.25)
combine|كمباين(0.5),ماشين درو وخرمنكوبي(0.25),تركيب كردن(0.5),باهم پيوستن(0.25),متحد شدن(0.25),اميختن تركيب شدن(0.25),مخلوط كردن(0.25)
come|رسيدن(0.5),امدن(0.25),رفتن(0.25)
comedy|كمدي(0.75),نمايش خنده دار(0.25),شاد نمايش(0.25),نمايش خنده اور(0.25)
comfort|راحت(0.75),مايه تسلي(0.5),اسودگي(0.25),اسايش(0.25),دلداري دادن(0.25),اسايش دادن(0.25),تسهيل كردن(0.25)
comic|خنده دار(0.75),مضحك(0.5),وابسته به كمدي(0.25)
command|فرماندهي(0.75),فرمان(0.75),فرمايش(0.25),سركردگي(0.25),فرمان دادن(0.5),حكم كردن(0.25),امر كردن(0.25),فرمودن(0.25)
comment|توضيح(0.75),تفسير(0.25),تعبير(0.25),تفسير نوشتن(0.25),تعبير كردن(0.25),يادداشت كردن(0.25),تقريظ نوشتن(0.25)
commentary|تفسير(0.75),رشته يادداشت(0.25),گزارش رويداد(0.25),سفرنگ(0.25),تقريظ(0.25)
commentator|مفسر(0.75),سفرنگ گر(0.5),مفسر اثار ادبي كهن(0.5),حاشيه نويس(0.5)
commercial|تجاري(0.75),بازرگاني(0.75),تجارتي(0.5),براي فروش(0.25)
commissar|كميسر(0.75)
commission|كميسيون(0.75),هيئت(0.5),حق كميسيون(0.5),ماموريت(0.25),تصدي(0.25),حق العمل(0.25),فرمان(0.25),حكم(0.25),انجام(0.25),گماشتن(0.25),ماموريت دادن(0.25)
commit|مرتكب(0.75)
commitment|تعهد(0.75),الزام(0.5),سرسپردگي(0.25),ارتكاب(0.25),حكم توقيف(0.25)
commits|مرتكب(0.75)
committee|كميسيون(0.5),هيئت يا كميته(0.25),مجلس مشاوره(0.25),مجلس(0.25)
common|مشترك(0.75),متداول(0.75),عام(0.75),عمومي(0.5),معمولي(0.5),عادي(0.5),مرسوم(0.5),اشتراكي(0.25),متعارفي(0.25),مشاع(0.25),عوامانه(0.25),عوام(0.25),روستايي(0.25),عرفي(0.25),پيش پا افتاده(0.25)
communal|همگاني(0.5),اشتراكي(0.5)
communally|communally(0.75)
commune|راز دل گفتن(0.5),صميمانه گفتگو كردن(0.5),مزرعه اشتراكي(0.5),بخش(0.25)
communicate|ارتباط(0.75),گفتگو كردن(0.5),معاشرت كردن(0.25),ارتباط بر قرار كردن(0.25),مكاتبه كردن(0.25),كاغذ نويسي كردن(0.25),مراوده كردن(0.25),فرا فرستادن(0.25)
communicating|برقراري ارتباط(0.75)
communication|ارتباط(0.75),مخابرات(0.5),معاشرت(0.25),مكاتبه(0.25),ابلاغيه(0.25),تماس(0.25),مخابره(0.25),علاقه(0.25)
communism|كمونيسم(0.75)
communist|كمونيست(0.75)
community|انجمن(0.75),اجتماع(0.5),عوام(0.25),عموم(0.25)
commute|تبديل كردن(0.5),مسافرت كردن(0.5)
compaction|فشردگي(0.75),فشرده سازي(0.5),عمل بهم چسباندن(0.25),عمل ريز بافتن(0.25)
companion|مصاحب(0.5),هم نشين(0.5),همراه همدم(0.25),پهلو نشين(0.25),معاشر(0.25),معاشرت كردن(0.25),همراهي كردن(0.25)
company|شركت(0.75),جمعيت(0.25),انجمن(0.25),گروه(0.25),دسته(0.25),هيئت بازيگران(0.25),گروهان(0.25),همراه كسي رفتن(0.25)
comparable|قابل مقايسه(0.75),برابركردني(0.25),قياس پذير(0.25),مانند كردني(0.25),نظير(0.25),مانند(0.25)
comparatively|نسبتا(0.75)
compare|مقايسه(0.75)
comparison|مقايسه(0.75),هم سنجي(0.25),مقابله(0.25),تطبيق(0.25),سنجش(0.25),برابري(0.25),تشبيه(0.25),مطابقت(0.25)
compass|قطب نما(0.75),پرگار(0.5),حيطه(0.5),حوزه(0.5),دايره(0.5),گرد(0.5),تدبير كردن(0.5),نقشه كشيدن(0.5),اختراع كردن(0.5),دور زدن(0.5),مدار چيزي راكامل نمودن(0.5),جهت كردن(0.5),محصور كردن(0.5),محدود كردن(0.5),درك كردن(0.5),با قطب نما تعيين كردن(0.25)
compassion|شفقت(0.75),دلسوزي(0.5),غمخواري(0.5),رحم(0.5)
compel|مجبور كردن(0.5),وادار كردن(0.5)
compensate|غرامت دادن(0.5),تاوان دادن(0.25),جبران كردن(0.5),پاداش دادن(0.25),عوض دادن(0.25),تلافي كردن(0.25)
compensation|جبران(0.75),تلافي(0.25),غرامت(0.75),عوض(0.5),تاوان(0.25),پاداش(0.5),مزد(0.25),جبران كردن(0.5)
competence|صلاحيت(0.75),سررشته(0.25),شايستگي(0.75),لياقت(0.5),كفايت(0.5),خبرگي(0.25)
competent|شايسته(0.5),لايق(0.5),داراي سر رشته(0.25)
competition|رقابت(0.75),مسابقه(0.75),هم چشمي(0.25),سبقت جويي(0.25),هم اوري(0.25),تفاضل(0.25)
competitor|رقيب(0.75),سبقت جو(0.25),حريف(0.25),هم اورد(0.25),هم كار(0.25)
compile|كامپايل(0.75)
complaint|شكايت(0.75),شكوه(0.25),دادخواهي(0.25)
complement|متمم(0.75),تعارفات معمولي(0.5),تزئيني(0.5),كامل كردن(0.5),متمم گرفتن(0.5),متمم بودن(0.5)
complementary|مكمل(0.75),متمم(0.5),تكميل كننده يكديگر(0.25)
